 #node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ACTC1,MYOZ1,9606.ENSP00000290378,9606.ENSP00000352272,0,0,0,0,0.170,0,0,0.324,0.414
ACTC1,TRIM63,9606.ENSP00000290378,9606.ENSP00000363390,0,0,0,0,0.048,0.250,0,0.310,0.464
ACTC1,ANKRD1,9606.ENSP00000290378,9606.ENSP00000360762,0,0,0,0,0.141,0.092,0,0.508,0.583
ACTC1,MYOZ2,9606.ENSP00000290378,9606.ENSP00000306997,0,0,0,0,0.268,0,0,0.606,0.699
ACTC1,TCAP,9606.ENSP00000290378,9606.ENSP00000312624,0,0,0,0,0.103,0,0,0.729,0.746
ACTC1,ACTN2,9606.ENSP00000290378,9606.ENSP00000355537,0,0,0,0,0.174,0.125,0,0.694,0.760
ACTC1,TTN,9606.ENSP00000290378,9606.ENSP00000467141,0,0,0,0,0.145,0.092,0,0.802,0.833
ACTC1,CSRP3,9606.ENSP00000290378,9606.ENSP00000431813,0,0,0,0,0.268,0.070,0,0.828,0.873
ACTC1,MYBPC3,9606.ENSP00000290378,9606.ENSP00000442795,0,0,0,0,0.061,0.945,0,0.918,0.995
ACTC1,MYH7,9606.ENSP00000290378,9606.ENSP00000347507,0,0,0,0,0.199,0.922,0.900,0.934,0.999
ACTN2,ACTC1,9606.ENSP00000355537,9606.ENSP00000290378,0,0,0,0,0.174,0.125,0,0.694,0.760
ACTN2,MYOZ2,9606.ENSP00000355537,9606.ENSP00000306997,0,0,0,0,0.554,0.330,0,0.962,0.987
ACTN2,TCAP,9606.ENSP00000355537,9606.ENSP00000312624,0,0,0,0,0.448,0,0.500,0.899,0.969
ACTN2,MYH7,9606.ENSP00000355537,9606.ENSP00000347507,0,0,0,0,0.702,0.613,0,0.831,0.978
ACTN2,MYOZ1,9606.ENSP00000355537,9606.ENSP00000352272,0,0,0,0,0.410,0.926,0,0.961,0.998
ACTN2,TRIM63,9606.ENSP00000355537,9606.ENSP00000363390,0,0,0,0,0.202,0.059,0,0.330,0.453
ACTN2,OBSCN,9606.ENSP00000355537,9606.ENSP00000455507,0,0,0,0,0.165,0.104,0,0.398,0.510
ACTN2,ANKRD1,9606.ENSP00000355537,9606.ENSP00000360762,0,0,0,0,0.182,0.090,0,0.543,0.631
ACTN2,NEB,9606.ENSP00000355537,9606.ENSP00000484342,0,0,0,0,0.321,0.074,0,0.676,0.779
ACTN2,MYBPC3,9606.ENSP00000355537,9606.ENSP00000442795,0,0,0,0,0.109,0.104,0,0.772,0.802
ACTN2,CSRP3,9606.ENSP00000355537,9606.ENSP00000431813,0,0,0,0,0.554,0.525,0,0.873,0.971
ACTN2,TTN,9606.ENSP00000355537,9606.ENSP00000467141,0,0,0,0,0.390,0.957,0.500,0.992,0.999
ANK1,CAPN3,9606.ENSP00000265709,9606.ENSP00000380349,0,0,0,0,0.106,0.099,0,0.483,0.547
ANK1,CSRP3,9606.ENSP00000265709,9606.ENSP00000431813,0,0,0,0,0.084,0.046,0,0.534,0.558
ANK1,TCAP,9606.ENSP00000265709,9606.ENSP00000312624,0,0,0,0,0.075,0,0,0.706,0.716
ANK1,TTN,9606.ENSP00000265709,9606.ENSP00000467141,0,0,0,0,0.082,0.529,0,0.966,0.984
ANK1,OBSCN,9606.ENSP00000265709,9606.ENSP00000455507,0,0,0,0,0.072,0.793,0,0.970,0.993
ANKRD1,ACTC1,9606.ENSP00000360762,9606.ENSP00000290378,0,0,0,0,0.141,0.092,0,0.508,0.583
ANKRD1,MYOZ2,9606.ENSP00000360762,9606.ENSP00000306997,0,0,0,0,0.289,0.045,0,0.541,0.661
ANKRD1,TCAP,9606.ENSP00000360762,9606.ENSP00000312624,0,0,0,0,0.080,0,0,0.595,0.612
ANKRD1,MYH7,9606.ENSP00000360762,9606.ENSP00000347507,0,0,0,0,0.187,0.113,0,0.554,0.651
ANKRD1,ACTN2,9606.ENSP00000360762,9606.ENSP00000355537,0,0,0,0,0.182,0.090,0,0.543,0.631
ANKRD1,TRIM63,9606.ENSP00000360762,9606.ENSP00000363390,0,0,0,0,0.067,0.305,0,0.340,0.535
ANKRD1,MYBPC3,9606.ENSP00000360762,9606.ENSP00000442795,0,0,0,0,0.109,0.094,0,0.545,0.600
ANKRD1,CAPN3,9606.ENSP00000360762,9606.ENSP00000380349,0,0,0,0,0.111,0.099,0,0.554,0.612
ANKRD1,NEB,9606.ENSP00000360762,9606.ENSP00000484342,0,0,0,0,0.099,0.059,0,0.581,0.613
ANKRD1,CSRP3,9606.ENSP00000360762,9606.ENSP00000431813,0,0,0,0,0.230,0.051,0,0.623,0.700
ANKRD1,TTN,9606.ENSP00000360762,9606.ENSP00000467141,0,0,0,0,0.149,0.331,0,0.982,0.988
CAPN3,ANK1,9606.ENSP00000380349,9606.ENSP00000265709,0,0,0,0,0.106,0.099,0,0.483,0.547
CAPN3,TCAP,9606.ENSP00000380349,9606.ENSP00000312624,0,0,0,0,0.120,0,0,0.843,0.855
CAPN3,NBR1,9606.ENSP00000380349,9606.ENSP00000343479,0,0,0,0,0.042,0,0,0.549,0.549
CAPN3,MYOZ1,9606.ENSP00000380349,9606.ENSP00000352272,0,0,0,0,0.201,0,0,0.322,0.435
CAPN3,ANKRD1,9606.ENSP00000380349,9606.ENSP00000360762,0,0,0,0,0.111,0.099,0,0.554,0.612
CAPN3,TRIM63,9606.ENSP00000380349,9606.ENSP00000363390,0,0,0,0,0.128,0.292,0,0.626,0.749
CAPN3,SQSTM1,9606.ENSP00000380349,9606.ENSP00000374455,0,0,0,0,0,0,0,0.433,0.433
CAPN3,MYBPC3,9606.ENSP00000380349,9606.ENSP00000442795,0,0,0,0,0.074,0.085,0,0.534,0.571
CAPN3,OBSCN,9606.ENSP00000380349,9606.ENSP00000455507,0,0,0,0,0.085,0.085,0,0.685,0.713
CAPN3,NEB,9606.ENSP00000380349,9606.ENSP00000484342,0,0,0,0,0.310,0,0,0.665,0.759
CAPN3,TTN,9606.ENSP00000380349,9606.ENSP00000467141,0,0,0,0,0.090,0.627,0,0.997,0.998
CSRP3,ANK1,9606.ENSP00000431813,9606.ENSP00000265709,0,0,0,0,0.084,0.046,0,0.534,0.558
CSRP3,ACTC1,9606.ENSP00000431813,9606.ENSP00000290378,0,0,0,0,0.268,0.070,0,0.828,0.873
CSRP3,MYOZ2,9606.ENSP00000431813,9606.ENSP00000306997,0,0,0,0,0.829,0,0,0.731,0.952
CSRP3,TCAP,9606.ENSP00000431813,9606.ENSP00000312624,0,0,0,0,0.493,0.510,0,0.996,0.998
CSRP3,MYH7,9606.ENSP00000431813,9606.ENSP00000347507,0,0,0,0,0.793,0,0,0.831,0.963
CSRP3,MYOZ1,9606.ENSP00000431813,9606.ENSP00000352272,0,0,0,0,0.416,0,0,0.497,0.693
CSRP3,ACTN2,9606.ENSP00000431813,9606.ENSP00000355537,0,0,0,0,0.554,0.525,0,0.873,0.971
